TIMESTAMP,TIMER,JOINTTYPE,xPOSITION,yPOSITION,zPOSITION
16:11:22:9197, 00:00:00.0437813, HipCenter,0.01812262,-0.049899,1.895079
16:11:22:9540, 00:00:00.0478727, Spine,-0.003942546,0.009812071,1.958085
16:11:22:9600, 00:00:00.0548772, ShoulderCenter,-0.01033379,0.3926172,1.997648
16:11:22:9640, 00:00:00.0583427, Head,0.0282327,0.5927866,2.013163
16:11:22:9680, 00:00:00.0620777, ShoulderLeft,-0.1566433,0.2701774,1.925276
16:11:22:9700, 00:00:00.0648326, ElbowLeft,-0.2872808,0.06575675,1.886413
16:11:22:9720, 00:00:00.0664992, WristLeft,-0.2752373,-0.09350743,1.674718
16:11:22:9740, 00:00:00.0682440, HandLeft,-0.2583341,-0.1568822,1.619247
16:11:22:9760, 00:00:00.0700507, ShoulderRight,0.1705797,0.2657918,2.040014
16:11:22:9780, 00:00:00.0719722, ElbowRight,0.2703733,0.01367086,2.029155
16:11:22:9790, 00:00:00.0736162, WristRight,0.3222178,-0.1932036,1.809591
16:11:22:9810, 00:00:00.0754966, HandRight,0.3394994,-0.2621618,1.741237
16:11:22:9830, 00:00:00.0771183, HipLeft,-0.05063168,-0.1246575,1.847819
16:11:22:9850, 00:00:00.0787555, KneeLeft,-0.1061939,-0.4867528,1.783182
16:11:22:9860, 00:00:00.0802771, AnkleLeft,-0.09197808,-0.8733112,1.749117
16:11:22:9880, 00:00:00.0819260, FootLeft,-0.05590396,-0.9138917,1.654616
16:11:22:9891, 00:00:00.0835141, HipRight,0.09661867,-0.126631,1.902262
16:11:22:9910, 00:00:00.0852744, KneeRight,0.1672352,-0.5047858,1.817816
16:11:22:9930, 00:00:00.0872484, AnkleRight,0.1867094,-0.870303,1.800196
16:11:22:9950, 00:00:00.0897280, FootRight,0.2241895,-0.9135671,1.707449
16:11:23:0211, 00:00:00.1146280, HipCenter,0.035897,-0.05732218,1.921313
16:11:23:0221, 00:00:00.1161863, Spine,0.01299677,0.000974932,1.984982
16:11:23:0241, 00:00:00.1181765, ShoulderCenter,0.02167883,0.3804631,2.036252
16:11:23:0261, 00:00:00.1204571, Head,0.08732656,0.5678929,2.052286
16:11:23:0291, 00:00:00.1228736, ShoulderLeft,-0.1327989,0.2619508,1.950214
16:11:23:0311, 00:00:00.1252165, ElbowLeft,-0.2695587,0.05356316,1.907646
16:11:23:0331, 00:00:00.1275635, WristLeft,-0.2715987,-0.1378939,1.721238
16:11:23:0402, 00:00:00.1340866, HandLeft,-0.2575964,-0.207866,1.67153
16:11:23:0432, 00:00:00.1374324, ShoulderRight,0.2012899,0.2457178,2.088518
16:11:23:0452, 00:00:00.1388528, ElbowRight,0.3057666,-0.009336386,2.027905
16:11:23:0472, 00:00:00.1412392, WristRight,0.4175164,-0.1219351,1.817739
16:11:23:0492, 00:00:00.1432377, HandRight,0.4326409,-0.1667862,1.663716
16:11:23:0502, 00:00:00.1445173, HipLeft,-0.03744673,-0.1308483,1.864209
16:11:23:0522, 00:00:00.1459348, KneeLeft,-0.1023429,-0.4874608,1.787429
16:11:23:0542, 00:00:00.1490298, AnkleLeft,-0.09115381,-0.8930556,1.751478
16:11:23:0562, 00:00:00.1503328, FootLeft,-0.04833341,-0.9345195,1.657398
16:11:23:0572, 00:00:00.1517140, HipRight,0.1152605,-0.1390504,1.934715
